file_name,label
1.png,18
2.png,69
3.png,82
4.png,63
5.png,69
6.png,51
7.png,10
8.png,59
9.png,54
10.png,6
11.png,93
12.png,18
13.png,74
14.png,72
15.png,84
16.png,80
17.png,82
18.png,55
19.png,88
20.png,22
21.png,62
22.png,60
23.png,16
24.png,91
25.png,65
26.png,16
27.png,82
28.png,54
29.png,34
30.png,55
31.png,82
32.png,50
33.png,93
34.png,77
35.png,45
36.png,17
37.png,73
38.png,40
39.png,50
40.png,45
41.png,79
42.png,3
43.png,88
44.png,71
45.png,88
46.png,2
47.png,11
48.png,72
49.png,72
50.png,34
51.png,8
52.png,9
53.png,50
54.png,50
55.png,64
56.png,56
57.png,83
58.png,50
59.png,76
60.png,48
61.png,71
62.png,9
63.png,94
64.png,58
65.png,85
66.png,51
67.png,68
68.png,64
69.png,26
70.png,50
71.png,36
72.png,65
73.png,45
74.png,76
75.png,27
76.png,80
77.png,72
78.png,16
79.png,86
80.png,64
81.png,30
82.png,79
83.png,52
84.png,82
85.png,76
86.png,17
87.png,46
88.png,73
89.png,48
90.png,80
91.png,72
92.png,86
93.png,83
94.png,90
95.png,83
96.png,53
97.png,52
98.png,22
99.png,45
100.png,89
101.png,24
102.png,79
103.png,87
104.png,37
105.png,53
106.png,2
107.png,95
108.png,35
109.png,43
110.png,76
111.png,42
112.png,73
113.png,83
114.png,43
115.png,72
116.png,72
117.png,57
118.png,94
119.png,50
120.png,11
121.png,41
122.png,10
123.png,40
124.png,28
125.png,72
126.png,101
127.png,72
128.png,35
129.png,16
130.png,45
131.png,81
132.png,98
133.png,32
134.png,92
135.png,3
136.png,75
137.png,39
138.png,29
139.png,71
140.png,22
141.png,45
142.png,0
143.png,91
144.png,83
145.png,40
146.png,87
147.png,74
148.png,1
149.png,100
150.png,79
151.png,31
152.png,96
153.png,59
154.png,35
155.png,64
156.png,94
157.png,29
158.png,3
159.png,88
160.png,45
161.png,27
162.png,16
163.png,50
164.png,67
165.png,7
166.png,64
167.png,11
168.png,79
169.png,27
170.png,76
171.png,59
172.png,93
173.png,76
174.png,72
175.png,90
176.png,71
177.png,1
178.png,42
179.png,52
180.png,35
181.png,75
182.png,57
183.png,3
184.png,76
185.png,17
186.png,72
187.png,43
188.png,58
189.png,50
190.png,73
191.png,46
192.png,87
193.png,71
194.png,80
195.png,47
196.png,95
197.png,28
198.png,95
199.png,79
200.png,51
201.png,64
202.png,17
203.png,29
204.png,76
205.png,53
206.png,36
207.png,71
208.png,55
209.png,93
210.png,28
211.png,46
212.png,50
213.png,64
214.png,76
215.png,50
216.png,76
217.png,100
218.png,99
219.png,53
220.png,15
221.png,82
222.png,62
223.png,80
224.png,54
225.png,94
226.png,59
227.png,93
228.png,76
229.png,10
230.png,87
231.png,55
232.png,70
233.png,37
234.png,21
235.png,85
236.png,19
237.png,29
238.png,58
239.png,17
240.png,81
241.png,53
242.png,50
243.png,51
244.png,84
245.png,76
246.png,39
247.png,98
248.png,19
249.png,51
250.png,26
251.png,18
252.png,76
253.png,81
254.png,55
255.png,39
256.png,14
257.png,68
258.png,74
259.png,73
260.png,70
261.png,28
262.png,21
263.png,96
264.png,70
265.png,36
266.png,88
267.png,27
268.png,58
269.png,42
270.png,58
271.png,8
272.png,66
273.png,77
274.png,73
275.png,50
276.png,57
277.png,80
278.png,32
279.png,16
280.png,50
281.png,43
282.png,95
283.png,83
284.png,54
285.png,88
286.png,56
287.png,28
288.png,62
289.png,16
290.png,75
291.png,42
292.png,93
293.png,58
294.png,51
295.png,98
296.png,81
297.png,93
298.png,57
299.png,10
300.png,77
301.png,21
302.png,81
303.png,28
304.png,74
305.png,14
306.png,93
307.png,87
308.png,82
309.png,37
310.png,22
311.png,35
312.png,45
313.png,74
314.png,35
315.png,72
316.png,57
317.png,50
318.png,41
319.png,87
320.png,71
321.png,45
322.png,72
323.png,27
324.png,1
325.png,50
326.png,27
327.png,82
328.png,45
329.png,35
330.png,99
331.png,18
332.png,64
333.png,29
334.png,65
335.png,45
336.png,60
337.png,82
338.png,94
339.png,25
340.png,69
341.png,76
342.png,76
343.png,29
344.png,71
345.png,88
346.png,67
347.png,7
348.png,7
349.png,51
350.png,47
351.png,22
352.png,50
353.png,42
354.png,1
355.png,45
356.png,51
357.png,50
358.png,16
359.png,41
360.png,76
361.png,78
362.png,79
363.png,12
364.png,59
365.png,15
366.png,60
367.png,17
368.png,10
369.png,73
370.png,72
371.png,79
372.png,74
373.png,94
374.png,79
375.png,40
376.png,11
377.png,88
378.png,73
379.png,54
380.png,44
381.png,21
382.png,59
383.png,79
384.png,9
385.png,41
386.png,27
387.png,64
388.png,35
389.png,52
390.png,79
391.png,56
392.png,57
393.png,57
394.png,76
395.png,40
396.png,57
397.png,7
398.png,13
399.png,80
400.png,62
401.png,90
402.png,69
403.png,70
404.png,89
405.png,70
406.png,28
407.png,45
408.png,40
409.png,1
410.png,97
411.png,34
412.png,40
413.png,49
414.png,10
415.png,71
416.png,83
417.png,76
418.png,75
419.png,40
420.png,50
421.png,100
422.png,50
423.png,58
424.png,76
425.png,73
426.png,93
427.png,39
428.png,28
429.png,98
430.png,79
431.png,88
432.png,57
433.png,88
434.png,72
435.png,82
436.png,51
437.png,16
438.png,88
439.png,82
440.png,91
441.png,43
442.png,34
443.png,83
444.png,64
445.png,84
446.png,94
447.png,63
448.png,83
449.png,5
450.png,56
451.png,12
452.png,80
453.png,95
454.png,2
455.png,100
456.png,75
457.png,17
458.png,93
459.png,94
460.png,22
461.png,40
462.png,90
463.png,85
464.png,17
465.png,36
466.png,50
467.png,24
468.png,63
469.png,59
470.png,40
471.png,45
472.png,98
473.png,81
474.png,41
475.png,94
476.png,3
477.png,5
478.png,40
479.png,88
480.png,85
481.png,10
482.png,65
483.png,90
484.png,52
485.png,10
486.png,3
487.png,22
488.png,42
489.png,45
490.png,11
491.png,77
492.png,82
493.png,98
494.png,50
495.png,71
496.png,55
497.png,50
498.png,76
499.png,62
500.png,49
501.png,58
502.png,83
503.png,81
504.png,50
505.png,7
506.png,17
507.png,43
508.png,56
509.png,51
510.png,10
511.png,49
512.png,73
513.png,90
514.png,31
515.png,9
516.png,49
517.png,40
518.png,41
519.png,87
520.png,15
521.png,91
522.png,87
523.png,88
524.png,10
525.png,51
526.png,70
527.png,17
528.png,82
529.png,73
530.png,89
531.png,72
532.png,10
533.png,58
534.png,97
535.png,17
536.png,84
537.png,40
538.png,58
539.png,68
540.png,33
541.png,72
542.png,78
543.png,87
544.png,3
545.png,87
546.png,73
547.png,42
548.png,72
549.png,35
550.png,96
551.png,67
552.png,57
553.png,50
554.png,62
555.png,101
556.png,16
557.png,19
558.png,88
559.png,87
560.png,66
561.png,79
562.png,50
563.png,39
564.png,50
565.png,94
566.png,76
567.png,45
568.png,36
569.png,52
570.png,41
571.png,28
572.png,62
573.png,40
574.png,83
575.png,76
576.png,55
577.png,52
578.png,94
579.png,80
580.png,50
581.png,100
582.png,83
583.png,85
584.png,50
585.png,51
586.png,78
587.png,70
588.png,50
589.png,93
590.png,53
591.png,28
592.png,35
593.png,97
594.png,25
595.png,10
596.png,37
597.png,82
598.png,3
599.png,57
600.png,76
601.png,80
